frame_of_detection,track_id_1,class_1,track_id_2,class_2,predicted_TTC_seconds
93,17,traffic light,68,car,1.7000000000000002
93,62,car,124,car,0.1
94,1,car,3,car,0.1
94,1,car,20,car,0.1
94,2,car,11,car,0.1
94,2,car,124,car,0.1
94,5,car,124,car,0.1
94,11,car,124,car,0.4
94,33,traffic light,124,car,0.1
94,62,car,124,car,0.1
95,1,car,3,car,0.1
95,1,car,20,car,0.1
95,2,car,11,car,0.1
95,5,car,124,car,0.1
95,11,car,124,car,0.30000000000000004
95,33,traffic light,124,car,0.1
95,62,car,124,car,0.1
96,1,car,3,car,0.1
96,1,car,20,car,0.1
96,2,car,11,car,0.1
96,5,car,124,car,0.1
96,10,car,11,car,0.1
96,33,traffic light,124,car,0.1
97,2,car,11,car,0.1
97,5,car,124,car,0.1
97,33,traffic light,124,car,0.1
98,1,car,3,car,0.1
98,2,car,11,car,0.1
98,5,car,124,car,0.1
98,33,traffic light,124,car,0.1
99,1,car,3,car,0.1
99,2,car,8,car,1.4000000000000001
99,2,car,11,car,0.1
99,2,car,124,car,0.1
99,17,traffic light,68,car,1.1
100,1,car,141,person,0.1
100,2,car,8,car,1.3
100,2,car,11,car,0.1
100,2,car,124,car,0.1
100,17,traffic light,68,car,0.9
101,1,car,108,person,0.7000000000000001
101,2,car,11,car,0.1
101,2,car,124,car,0.1
101,10,car,11,car,0.1
101,17,traffic light,68,car,0.9
101,20,person,108,person,0.1
102,1,car,108,person,0.9
102,2,car,11,car,0.1
102,5,car,124,car,0.1
102,11,car,124,car,0.30000000000000004
102,17,traffic light,68,car,1.7000000000000002
102,20,person,108,person,0.1
103,1,car,108,person,1.2000000000000002
103,2,car,10,car,1.8
103,2,car,11,car,0.1
103,5,car,124,car,0.1
103,10,car,124,car,1.5
103,11,car,124,car,0.2
103,20,person,108,person,0.1
104,2,car,124,car,0.1
104,11,car,124,car,0.1
104,124,car,140,car,1.5
105,1,car,3,car,0.1
105,2,car,124,car,0.1
105,3,car,8,car,0.5
105,11,car,124,car,0.2
105,33,traffic light,124,car,0.1
105,124,car,140,car,1.8
106,1,car,3,car,0.1
106,2,car,124,car,0.1
106,3,car,8,car,0.7000000000000001
106,5,car,124,car,0.1
106,11,car,124,car,0.5
106,33,traffic light,124,car,0.1
106,124,car,140,car,1.9000000000000001
106,124,car,154,car,1.2000000000000002
107,1,car,20,car,0.1
107,2,car,11,car,0.1
107,2,car,154,car,1.9000000000000001
108,1,car,3,car,0.1
108,2,car,154,car,1.8
108,7,car,143,person,0.1
109,1,car,20,car,0.1
109,2,car,154,car,1.7000000000000002
109,10,car,11,car,0.1
110,2,car,124,car,0.1
110,10,car,11,car,0.1
110,11,car,124,car,0.2
110,33,traffic light,124,car,0.1
110,33,traffic light,154,car,1.1
111,2,car,124,car,0.1
111,5,car,154,car,1.5
111,10,car,11,car,0.1
111,11,car,124,car,0.1
111,33,traffic light,154,car,1.0
111,124,car,140,car,1.6
111,124,car,154,car,0.8
112,2,car,124,car,0.1
112,5,car,154,car,1.4000000000000001
112,11,car,124,car,0.1
112,17,traffic light,68,car,1.9000000000000001
112,124,car,140,car,1.1
112,124,car,154,car,0.9
113,1,car,108,person,2.0
113,2,car,124,car,0.1
113,5,car,154,car,1.5
113,17,traffic light,68,car,1.8
113,124,car,140,car,1.1
113,124,car,154,car,0.8
114,1,car,108,person,1.1
114,2,car,11,car,0.1
114,2,car,124,car,0.1
114,10,car,11,car,0.1
114,11,car,154,car,1.8
114,17,traffic light,68,car,1.9000000000000001
114,124,car,140,car,1.7000000000000002
114,124,car,154,car,0.7000000000000001
115,2,car,11,car,0.1
115,5,car,154,car,1.6
115,7,car,143,person,0.1
115,10,car,11,car,0.1
115,11,car,154,car,1.5
116,2,car,11,car,0.1
116,5,car,154,car,1.5
116,7,car,143,person,0.1
116,10,car,11,car,0.1
116,11,car,154,car,1.4000000000000001
117,2,car,11,car,0.1
117,8,car,171,car,1.4000000000000001
117,10,car,11,car,0.1
117,81,traffic light,140,car,0.8
118,2,car,11,car,0.1
118,5,car,171,car,1.0
118,8,car,171,car,1.5
118,10,car,171,car,1.1
118,11,car,171,car,0.9
118,40,person,171,car,1.7000000000000002
118,81,traffic light,140,car,0.5
119,2,car,171,car,0.9
119,10,car,171,car,1.0
119,40,person,171,car,1.8
119,40,person,179,car,1.8
119,81,traffic light,140,car,0.6000000000000001
120,1,car,108,person,1.5
120,2,car,171,car,1.0
120,10,car,171,car,1.1
120,17,traffic light,171,car,1.1
120,40,person,179,car,1.9000000000000001
120,81,traffic light,140,car,0.7000000000000001
121,1,car,108,person,1.2000000000000002
121,2,car,171,car,1.0
121,10,car,171,car,1.1
121,17,traffic light,171,car,1.1
121,40,person,179,car,1.7000000000000002
121,81,car,140,car,0.9
122,1,car,108,person,1.3
122,2,car,171,car,1.0
122,9,person,108,person,1.7000000000000002
122,10,car,171,car,1.1
122,17,traffic light,140,car,1.4000000000000001
122,40,person,179,car,1.8
122,81,traffic light,140,car,0.7000000000000001
122,171,car,180,car,1.3
123,10,car,171,car,1.1
123,17,traffic light,62,car,1.7000000000000002
123,171,car,180,car,1.4000000000000001
124,10,car,171,car,1.2000000000000002
125,140,car,185,car,0.7000000000000001
125,171,car,185,car,0.4
126,8,car,179,car,1.2000000000000002
127,8,car,179,car,0.8
127,171,car,185,car,0.4
128,1,car,3,car,0.1
128,2,car,8,car,1.6
128,3,car,179,car,1.7000000000000002
128,8,car,179,car,0.7000000000000001
128,10,car,11,car,0.1
129,1,car,3,car,0.1
129,3,car,8,car,0.6000000000000001
129,10,car,11,car,0.1
130,1,car,3,car,0.1
130,1,car,192,person,0.1
130,9,person,192,person,1.5
131,9,person,192,person,1.3
131,9,person,195,car,0.1
132,1,car,195,car,0.1
132,3,car,195,car,0.4
132,5,car,193,car,0.1
132,8,car,40,person,2.0
132,10,car,171,car,1.3
132,11,car,171,car,1.1
132,171,car,180,car,1.5
133,1,car,197,person,0.5
133,2,car,11,car,0.1
133,3,car,197,person,1.2000000000000002
133,5,car,193,car,0.1
133,8,car,40,person,2.0
133,9,person,197,person,0.1
133,10,car,11,car,0.1
133,11,car,171,car,1.2000000000000002
133,140,car,185,car,0.7000000000000001
133,171,car,185,car,0.30000000000000004
